Word,Count
#getContainerId(),7
Dispose,7
Check,7
#getConnectionId(),7
#getTaskId(),7
size,7
Maps,7
#getSetOn(),7
clear,7
color,7
associated,7
was,7
#getCheckInMilestoneId(),7
locked,7
\snapshotDataType="\dao.Snapshot"\\,7
remove,7
@implements,7
bar,7
<em>Milestone</em>}',7
#getDataSourceId(),7
IAdaptable,7
change,7
#getEvent(),7
Container,7
#getEventId(),7
entry,7
#getObjectId(),7
Font},7
#getFileTypeId(),7
#getFileFunctionStatusId(),7
already,7
'<em><b>Function</b></em>',7
#getSnapshotId(),7
specific,7
#getUserId(),7
'<em>Date</em>',7
#getFunctionId(),7
time,6
Set,6
<em>Db,6
'<em>Generic,6
Assurance,6
OS,6
'<em>Folder,6
classes,6
<em>Overall,6
MKS,6
Info1</em>}</li>,6
<b>Package</b>,6
Sandbox,6
Used</em>}</li>,6
<em>Configuration,6
Unit,6
Quality,6
==,6
application,6
creation,6
<em>Owner,6
both,6
'<em><b>Last,6
'<em><b>Suffix</b></em>',6
creates,6
operation,6
'<em><b>Type</b></em>',6
'<em>Connection</em>',6
container,6
yn</b></em>',6
'<em>Event</em>',6
version,6
'<em><b>Source</b></em>',6
hence,6
'<em>Hibernate,6
fetch,6
On</em>}',6
viewproject,6
<em>Times,6
Color},6
#getPartOf(),6
Info3</em>}</li>,6
them,6
old,6
Snapshot,6
system,6
parameters,6
'<em><b>Password</b></em>',6
System,6
'<em>General,6
invoke,6
Queries</em>',6
@author,6
Date</em>}</li>,6
current,6
Util</em>',6
general.EventType,6
'<em><b>Username</b></em>',6
<em>Owner</em>}',6
'<em><b>Description</b></em>',6
<em>Creation,6
<em>Synergy,6
'<em><b>Project,6
'<em><b>Quality,6
'<em><b>Comment</b></em>',6
meta-data,6
0,6
Project,6
string,6
#setName(String),6
<em>Full,6
<em>Up,6
<em>Mks,6
<em>Function</em>}',6
selection,6
Milestone</em>',6
Info2</em>}</li>,6
Object</em>',6
about,6
'<em><b>Of,6
<em>Modfied,6
#getOwner(),6
'<em>File</em>',6
Source</em>',6
integer,6
\name,\,6
'<em><b>document,6
controls,6
Satus</em>',6
Bundle},6
Of</em>}',6
found,6
only,6
'<em><b>Configuration,6
'<em><b>Root,6
'<em><b>Owner</b></em>',6
<code>caseXXX</code>,6
'<em>Task</em>',6
List</em>',6
#getTask(),5
#isDbStatus(),5
#getSessionFactory(),5
On</em>',5
represent,5
their,5
'<em><b>Level</b></em>',5
'<em><b>Session,5
#getProject(),5
\enumerator,\,5
DB,5
#getFileType(),5
#getMilestone(),5
#setDeleted(boolean),5
#getConfigurationManagement(),5
general.Connection#getConnectionId,5
fill,5
parentShell,5
<em>Persistent,5
general.DataSource#getDataSourceId,5
#getCreationDate(),5
#getEmail(),5
button,5
general.CheckInMilestone#getCheckInMilestoneId,5
'<em><b>Container,5
#getObjectName(),5
#getDate(),5
general.FileFunctionStatus#getSetOn,5
'<em><b>Container</b></em>',5
general.Function#getFunctionId,5
#getSession(),5
height,5
#getFullName(),5
#isDummy(),5
general.Event#getEventId,5
general.User#getUserId,5
do,5
utility,5
#isRequired(),5
singleton,5
general.Task#getTaskId,5
'<em>Milestone</em>',5
'<em><b>Snapshot</b></em>',5
another,5
File,5
general.FileType#getFileTypeId,5
#getLevel(),5
fields,5
'<em>Task,5
<em>Session</em>}',5
'<em><b>Check,5
Return,5
supported,5
runtime,5
general.Connection#getSource,5
general.Snapshot#getCreated,5
Criteria</b></em>',5
general.Snapshot#getSnapshotId,5
corresponding,5
#getOverallStatus(),5
#getAddInfo4(),5
settings,5
read-only,5
general.ContentObject#getObjectId,5
'<em><b>Modfied,5
between,5
'<em><b>Snapshot,5
#getMessage(),5
#getIcon(),5
#getTimesUsed(),5
#getReviewed(),5
'<em><b>Function,5
made,5
'<em><b>Version</b></em>',5
'<em><b>User</b></em>',5
dispose,5
#getModfiedDate(),5
Folder,5
column,5
messages,5
mark,5
#getStatus(),5
else,5
===========================================================================,5
general.Container#getContainerId,5
\"\"\;\,5
#getOwnerId(),5
through,5
#getUpToDate(),5
bold,5
project,5
#isMksStatus(),5
provides,5
#getDatabase(),5
'<em>Set,5
#getVersion(),5
Ensure,5
#getConnectionType(),5
<em>Folder</em>}',5
construct,5
component,5
Only,5
#getSynergySession(),5
<em>Date</em>}',5
'<em><b>Data,5
'<em><b>Generic,5
actions,5
#isUserRelevant(),5
Factory</em>}',5
general.FileFunctionStatus#getFileFunctionStatusId,5
array,5
#getRating(),5
#getFile(),5
relative,5
'<em><b>Dummy</b></em>',5
initialization,5
User,5
'<em><b>Full,5
#isFinished(),5
\default="\"\\,4
'<em>Configuration,4
also,4
java.util.List,4
general.impl.ContainerImpl,4
within,4
general.impl.ConnectionImpl,4
general.impl.UserListImpl,4
dao.GeneralQueries,4
org.eclipse.emf.ecore.EPackage.Registry,4
<em>Level</em>}',4
<code>createXXX</code>,4
<em>Password</em>}</li>,4
dao.impl.ContainerDaoImpl,4
dao.FunctionDao,4
<em>Generic,4
\enum,</li>\,4
<em>Icon</em>}',4
#getCheckInMilestone(),4
shared,4
Style,4
dao.impl.ConnectionDaoImpl,4
Directory</em>',4
general.impl.SnapshotImpl,4
dao.impl.HibernateUtilImpl,4
guarded,4
general.impl.UserImpl,4
dao.impl.FileFunctionStatusDaoImpl,4
Info4</em>}',4
dao.impl.GeneralQueriesImpl,4
options,4
List</em>}',4
'<em>Email</em>',4
what,4
fonts,4
Add,4
QualityCriteria,4
<em>Dummy</em>}',4
dao.FileDao,4
<em>Source</em>}</li>,4
composed,4
<em>Description</em>}</li>,4
\exist,\,4
applicable,4
<em>Required</em>}',4
invocation,4
until,4
Class</em>',4
URI,4
general.Task,4
general.impl.ContentObjectImpl,4
org.hibernate.SessionFactory,4
differenciator,4
dao.EventDao,4
dao.impl.FunctionDaoImpl,4
dao.UserDao,4
daddy,4
<em>Rating</em>}',4
end;,4
<em>Version</em>}',4
hierarchy,4
Session</em>}',4
finish,4
exists,4
state,4
looked,4
<em>Event</em>}',4
Management</em>}',4
'<em>Persistent,4
Queries</em>}',4
Inc,4
\value='@Cascade({CascadeType.SAVE_UPDATE,\,4
date,4
<em>Message</em>}',4
<em>Finished</em>}',4
<em>File</em>}',4
\Google,\,4
underline,4
'<em>EObject</em>',4
namespace,4
!!,4
Milestone</em>}',4
<em>Project</em>}',4
general.QualityCriteria},4
general.UserList,4
Of</em>}</li>,4
diff,4
'<em>Synergy,4
(e.g,4
dao.SnapshotDao,4
database,4
Event,4
placing,4
<b>Factory</b>,4
'<em>Owner,4
\seconds"\);\,4
org.hibernate.Query,4
\<code>"\"\</code>\,4
<em>Folder,4
<em>Type</em>}</li>,4
focus,4
Name</em>}</li>,4
general.impl.FileFunctionStatusImpl,4
<em>Owner</em>}</li>,4
java.util.Date,4
general.impl.TaskImpl,4
general.FileType,4
general.Event,4
needed,4
general.ContentObject,4
Time,4
general.impl.SessionSatusImpl,4
'<em>Mks,4
They,4
<em>Suffix</em>}</li>,4
general.File,4
read,4
'<em>Database</em>',4
URL},4
<em>Connection</em>}',4
\package,\,4
'<em>Db,4
<em>Status</em>}',4
originally,4
files,4
JFace,4
<em>Comment</em>}</li>,4
call,4
'<em>Status</em>',4
dao.impl.SnapshotDaoImpl,4
Info4</em>',4
order,4
shutdown),4
resulting,4
dao.HibernateUtil,4
general.Connection,4
\System.out.println("\---\,4
dao.impl.UserDaoImpl,4
||,4
select,4
dao.FileFunctionStatusDao,4
Folder1,4
using,4
decorate,4
'<em>Overall,4
stuff,4
\model,\,4
registered,4
Object</em>}',4
'<em>Message</em>',4
general.DataSource#getSetting,4
'<em>Version</em>',4
dao.impl.FolderDaoImpl,4
'<em>Required</em>',4
doOnce,4
All,4
descriptor,4
i,4
general.impl.FileTypeImpl,4
org.eclipse.swt.graphics.Image,4
general.impl.FolderImpl,4
general.impl.FileImpl,4
model's,4
<em>Username</em>}</li>,4
<em>General,4
type</li>,4
affect,4
